Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Sqrt Inf Filter,155,2,3,True,0.03421931266784668,6.957714080810547,-2.6777780183758895e+62
Kalman Filter,156,2,3,True,0.029498529434204102,0.538480281829834,-1148.416207734389
Information Filter,156,2,3,True,0.04925534725189209,6.087995290756226,-4.346519693916266e+65
Sqrt Filter,156,2,3,True,0.02518303394317627,0.46190810203552246,-1148.4162077343892
Sqrt Inf Filter,156,2,3,True,0.03333926200866699,6.340440034866333,-3.012356564430463e+63
Kalman Filter,157,2,3,True,0.02921285629272461,0.47218918800354004,-1155.1090836890614
Information Filter,157,2,3,True,0.04945127964019776,6.372781753540039,-5.478673348078348e+65
Sqrt Filter,157,2,3,True,0.024884724617004396,0.45367002487182617,-1155.1090836890617
Sqrt Inf Filter,157,2,3,True,0.034327125549316405,6.848074436187744,-1.058503244176257e+64
Kalman Filter,158,2,3,True,0.029398417472839354,0.49905848503112793,-1161.8019596437339
Information Filter,158,2,3,True,0.049974584579467775,6.273387670516968,-6.3858383453105266e+66
Sqrt Filter,158,2,3,True,0.025028467178344727,0.5233423709869385,-1161.801959643734
Sqrt Inf Filter,158,2,3,True,0.03388457298278809,7.223641872406006,-9.026626880192044e+64
Kalman Filter,159,2,3,True,0.02982330322265625,0.5433952808380127,-1168.4948355984063
Information Filter,159,2,3,True,0.05021820068359375,6.574268817901611,-7.735977457762787e+66
Sqrt Filter,159,2,3,True,0.025187373161315918,0.4555389881134033,-1168.4948355984066
Sqrt Inf Filter,159,2,3,True,0.034401464462280276,6.478227376937866,-2.2912074575537363e+65
Kalman Filter,160,2,3,True,0.03017747402191162,0.5045502185821533,-1175.1877115530788
Information Filter,160,2,3,True,0.050476789474487305,6.329392910003662,-1.2162373663298461e+68
Sqrt Filter,160,2,3,True,0.025411605834960938,0.5134589672088623,-1175.187711553079
Sqrt Inf Filter,160,2,3,True,0.03548014163970947,6.488410234451294,-1.0609687182505918e+66
Kalman Filter,161,2,3,True,0.029949593544006347,0.4586472511291504,-1181.8805875077512
Information Filter,161,2,3,True,0.05258796215057373,6.748120069503784,-1.4716663452546143e+68
Sqrt Filter,161,2,3,True,0.025525379180908202,0.4589073657989502,-1181.8805875077514
Sqrt Inf Filter,161,2,3,True,0.034391355514526364,9.131153583526611,-2.3358685000131175e+66
Kalman Filter,162,2,3,True,0.030275487899780275,0.5256803035736084,-1188.5734634624237
Information Filter,162,2,3,True,0.051197600364685056,6.454593896865845,-2.0599649372280837e+69
Sqrt Filter,162,2,3,True,0.025912833213806153,0.5465054512023926,-1188.573463462424
Sqrt Inf Filter,162,2,3,True,0.035482168197631836,6.819239139556885,-7.435467627063221e+66
Kalman Filter,163,2,3,True,0.030393767356872558,0.48306822776794434,-1195.266339417096
Information Filter,163,2,3,True,0.05145041942596436,6.953909158706665,-2.5074806958013545e+69
Sqrt Filter,163,2,3,True,0.02601778507232666,0.5508601665496826,-1195.2663394170963
Sqrt Inf Filter,163,2,3,True,0.03489594459533692,7.497628211975098,-6.819519546134006e+67
Kalman Filter,164,2,3,True,0.030579352378845216,0.4712963104248047,-1201.9592153717686
Information Filter,164,2,3,True,0.052844667434692384,7.01411247253418,-3.582657619288806e+70
Sqrt Filter,164,2,3,True,0.02649383544921875,0.5538983345031738,-1201.9592153717688
Sqrt Inf Filter,164,2,3,True,0.03511366844177246,6.903925657272339,-2.6456300035603177e+68
Kalman Filter,165,2,3,True,0.03140525817871094,0.520418643951416,-1208.652091326441
Information Filter,165,2,3,True,0.05242762565612793,6.717104196548462,-4.45951964501611e+70
Sqrt Filter,165,2,3,True,0.02664628028869629,0.5132288932800293,-1208.6520913264412
Sqrt Inf Filter,165,2,3,True,0.0353564977645874,7.669992685317993,-3.575456135992748e+68
Kalman Filter,166,2,3,True,0.03117830753326416,0.558469295501709,-1215.3449672811134
Information Filter,166,2,3,True,0.05389080047607422,6.702389478683472,-6.263660422524633e+71
Sqrt Filter,166,2,3,True,0.026853418350219725,0.5325901508331299,-1215.3449672811137
Sqrt Inf Filter,166,2,3,True,0.03610806465148926,6.879898309707642,-2.7477940006709326e+69
Kalman Filter,167,2,3,True,0.03134784698486328,0.4842493534088135,-1222.0378432357859
Information Filter,167,2,3,True,0.05376696586608887,6.733558654785156,-8.092318864867471e+71
Sqrt Filter,167,2,3,True,0.026599764823913574,0.4762234687805176,-1222.037843235786
Sqrt Inf Filter,167,2,3,True,0.035772085189819336,7.078135013580322,-2.2966008244821478e+70
Kalman Filter,168,2,3,True,0.03145935535430908,0.5489895343780518,-1228.7307191904583
Information Filter,168,2,3,True,0.052267265319824216,7.063835144042969,-1.0482921321775589e+73
Sqrt Filter,168,2,3,True,0.027103257179260255,0.5344915390014648,-1228.7307191904586
Sqrt Inf Filter,168,2,3,True,0.03598341941833496,6.947230577468872,-3.212043835778209e+70
Kalman Filter,169,2,3,True,0.03140890598297119,0.4725978374481201,-1235.4235951451308
Information Filter,169,2,3,True,0.05512781143188476,6.803231239318848,-1.3478103646364205e+73
Sqrt Filter,169,2,3,True,0.02679896354675293,0.48337674140930176,-1235.423595145131
Sqrt Inf Filter,169,2,3,True,0.03564398288726807,7.073430061340332,-1.676756714804505e+71
Kalman Filter,170,2,3,True,0.03159468173980713,0.4670393466949463,-1242.1164710998032
Information Filter,170,2,3,True,0.05425417423248291,6.644010066986084,-1.9267649157940382e+74
Sqrt Filter,170,2,3,True,0.026917314529418944,0.5481994152069092,-1242.1164710998034
Sqrt Inf Filter,170,2,3,True,0.03756422996520996,7.159796476364136,-3.134584860395278e+72
Kalman Filter,171,2,3,True,0.0317436695098877,0.46915268898010254,-1248.8093470544757
Information Filter,171,2,3,True,0.05391061305999756,6.57816743850708,-2.4484803637095505e+74
Sqrt Filter,171,2,3,True,0.02707662582397461,0.47896909713745117,-1248.809347054476
Sqrt Inf Filter,171,2,3,True,0.03723530769348145,7.006213903427124,-7.361687460680316e+72
Kalman Filter,172,2,3,True,0.03265526294708252,0.5730619430541992,-1255.502223009148
Information Filter,172,2,3,True,0.055877399444580075,6.632652521133423,-3.3384582392173926e+75
Sqrt Filter,172,2,3,True,0.027399682998657228,0.5459351539611816,-1255.5022230091483
Sqrt Inf Filter,172,2,3,True,0.03726239204406738,8.081655502319336,-5.874014341205772e+73
Kalman Filter,173,2,3,True,0.032355117797851565,0.5664558410644531,-1262.1950989638206
Information Filter,173,2,3,True,0.05610353946685791,6.960514307022095,-4.452230464000146e+75
Sqrt Filter,173,2,3,True,0.027882599830627443,0.5090601444244385,-1262.1950989638208
Sqrt Inf Filter,173,2,3,True,0.03751068115234375,7.245781898498535,-9.126453864840723e+73
Kalman Filter,174,2,3,True,0.03231105804443359,0.4821627140045166,-1268.887974918493
